team,region,country,track,status,year,url
HFLS_H2Z_Hangzhou,Asia,China,High School,Accepted,2017,https://2017.igem.org/Team:HFLS_H2Z_Hangzhou/Description
HFLS_ZhejiangUnited,Asia,China,High School,Accepted,2018,https://2018.igem.org/Team:HFLS_ZhejiangUnited/Description
HFUT-China,Asia,China,Software,Accepted,2015,https://2015.igem.org/Team:HFUT-China/Description
HFUT-China,Asia,China,Software,Accepted,2016,https://2016.igem.org/Team:HFUT-China/Description
HFUT-China,Asia,China,Software,Accepted,2017,https://2017.igem.org/Team:HFUT-China/Description
HFUT_CHINA,Asia,China,Software,Accepted,2014,https://2014.igem.org/Team:HFUT_CHINA/Description
HIT-Harbin,Asia,China,Food & Energy,Accepted,2011,https://2011.igem.org/Team:HIT-Harbin/Description
HIT-Harbin,Asia,China,Health & Medicine,Accepted,2012,https://2012.igem.org/Team:HIT-Harbin/Description
HIT-Harbin,Asia,China,Foundational Advance,Accepted,2013,https://2013.igem.org/Team:HIT-Harbin/Description
HIT-Harbin,Asia,China,Environment,Accepted,2014,https://2014.igem.org/Team:HIT-Harbin/Description
HKJS_S,Asia,Hong Kong,High School,Accepted,2018,https://2018.igem.org/Team:HKJS_S/Description
HKU-HKBU,Asia,Hong Kong,Manufacturing,Accepted,2009,https://2009.igem.org/Team:HKU-HKBU/Description
HKU-Hong_Kong,Asia,Hong Kong,Manufacturing,Accepted,2010,https://2010.igem.org/Team:HKU-Hong_Kong/Description
HKU-Hong_Kong,Asia,Hong Kong,New Application,Accepted,2011,https://2011.igem.org/Team:HKU-Hong_Kong/Description
HKUST,Asia,Hong Kong,New Application,Accepted,2009,https://2009.igem.org/Team:HKUST/Description
HKUST,Asia,Hong Kong,Health & Medicine,Accepted,2010,https://2010.igem.org/Team:HKUST/Description
HKUST-Hong_Kong,Asia,Hong Kong,New Application,Accepted,2011,https://2011.igem.org/Team:HKUST-Hong_Kong/Description
HKUST-Hong_Kong,Asia,Hong Kong,Health & Medicine,Accepted,2012,https://2012.igem.org/Team:HKUST-Hong_Kong/Description
HKUST-Rice,Asia,Hong Kong,Environment,Accepted,2015,https://2015.igem.org/Team:HKUST-Rice/Description
HKUSTers,Asia,Hong Kong,,Accepted,2008,https://2008.igem.org/Team:HKUSTers/Description
HKU_HongKong,Asia,Hong Kong,Environment,Accepted,2012,https://2012.igem.org/Team:HKU_HongKong/Description
HK_GTC,Asia,Hong Kong,High School,Accepted,2019,https://2019.igem.org/Team:HK_GTC/Description
HK_HCY_LFC,Asia,Hong Kong,High School,Accepted,2018,https://2018.igem.org/Team:HK_HCY_LFC/Description
HK_SKHLPSS,Asia,Hong Kong,High School,Accepted,2017,https://2017.igem.org/Team:HK_SKHLPSS/Description
HK_SKHLPSS,Asia,Hong Kong,High School,Accepted,2019,https://2019.igem.org/Team:HK_SKHLPSS/Description
